old-entity,status,entity,notes,end-date,entry-date,start-date
42100000,410,,,,,
42100001,410,,,,,
42100002,410,,,,,
42100003,410,,,,,
42100004,410,,,,,
42100005,410,,,,,
42100006,410,,,,,
42100007,410,,,,,
42100008,410,,,,,
42100009,410,,,,,
42100010,410,,,,,
42100011,410,,,,,
42100012,410,,,,,
42100013,410,,,,,
42100014,410,,,,,
42100015,410,,,,,
42100016,410,,,,,
42100017,410,,,,,
42100018,410,,,,,
42100019,410,,,,,
42100020,410,,,,,
42100021,410,,,,,
42100022,410,,,,,
42100023,410,,,,,
42100024,410,,,,,
42100025,410,,,,,
42100026,410,,,,,
42100027,410,,,,,
42100028,410,,,,,
42100029,410,,,,,
42100030,410,,,,,
42100031,410,,,,,
42100032,410,,,,,
42100033,410,,,,,
42100034,410,,,,,
42100035,410,,,,,
42100036,410,,,,,
42100037,410,,,,,
42100038,410,,,,,
42100039,410,,,,,
42100040,410,,,,,
42100041,410,,,,,
42100042,410,,,,,
42100043,410,,,,,
42100044,410,,,,,
42100045,410,,,,,
42100046,410,,,,,
42100047,410,,,,,
42100048,410,,,,,
42100049,410,,,,,
42100050,410,,,,,
42100051,410,,,,,
42100052,410,,,,,
42100053,410,,,,,
42100054,410,,,,,
42100055,410,,,,,
42100056,410,,,,,
42100057,410,,,,,
42100058,410,,,,,
42100059,410,,,,,
42100060,410,,,,,
42100061,410,,,,,
42100062,410,,,,,
42100063,410,,,,,
42100064,410,,,,,
42100065,410,,,,,
42100066,410,,,,,
42100067,410,,,,,
42100068,410,,,,,
42100069,410,,,,,
42100070,410,,,,,
42100071,410,,,,,
42100072,410,,,,,
42100073,410,,,,,
42100074,410,,,,,
42100075,410,,,,,
42100076,410,,,,,
42100077,410,,,,,
42100078,410,,,,,
42100079,410,,,,,
42100080,410,,,,,
42100081,410,,,,,
42100082,410,,,,,
42100083,410,,,,,
42100084,410,,,,,
42100085,410,,,,,
42100086,410,,,,,
42100087,410,,,,,
42100088,410,,,,,
42100089,410,,,,,
42100090,410,,,,,
42100091,410,,,,,
42100092,410,,,,,
42100093,410,,,,,
42100094,410,,,,,
42100095,410,,,,,
42100096,410,,,,,
42100097,410,,,,,
42100098,410,,,,,
42100099,410,,,,,
42100100,410,,,,,
42100101,410,,,,,
42100102,410,,,,,
42100103,410,,,,,
42100104,410,,,,,
42100105,410,,,,,
42100106,410,,,,,
42100107,410,,,,,
42100108,410,,,,,
42100109,410,,,,,
42100110,410,,,,,
42100111,410,,,,,
42100112,410,,,,,
42100113,410,,,,,
42100114,410,,,,,
42100115,410,,,,,
42100116,410,,,,,
42100117,410,,,,,
42100118,410,,,,,
42100119,410,,,,,
42100120,410,,,,,
42100121,410,,,,,
42100122,410,,,,,
42100123,410,,,,,
42100124,410,,,,,
42100125,410,,,,,
42100126,410,,,,,
42100127,410,,,,,
42100128,410,,,,,
42100129,410,,,,,
42100130,410,,,,,
42100131,410,,,,,
42100132,410,,,,,
42100133,410,,,,,
42100134,410,,,,,
42100135,410,,,,,
42100136,410,,,,,
42100137,410,,,,,
42100138,410,,,,,
42100139,410,,,,,
42100140,410,,,,,
42100141,410,,,,,
42100142,410,,,,,
42100143,410,,,,,
42100144,410,,,,,
42100145,410,,,,,
42100146,410,,,,,
42100147,410,,,,,
42100148,410,,,,,
42100149,410,,,,,
42100150,410,,,,,
42100151,410,,,,,
42100152,410,,,,,
42100153,410,,,,,
42100154,410,,,,,
42100155,410,,,,,
42100156,410,,,,,
42100157,410,,,,,
42100158,410,,,,,
42100159,410,,,,,
42100160,410,,,,,
42100161,410,,,,,
42100162,410,,,,,
42100163,410,,,,,
42100164,410,,,,,
42100165,410,,,,,
42100166,410,,,,,
42100167,410,,,,,
42100168,410,,,,,
42100169,410,,,,,
42100170,410,,,,,
42100171,410,,,,,
42100172,410,,,,,
42100173,410,,,,,
42100174,410,,,,,
42100175,410,,,,,
42100176,410,,,,,
42100177,410,,,,,
42100178,410,,,,,
42100179,410,,,,,
42100180,410,,,,,
42100181,410,,,,,
42100182,410,,,,,
42100183,410,,,,,
42100184,410,,,,,
42100185,410,,,,,
42100186,410,,,,,
42100187,410,,,,,
42100188,410,,,,,
42100189,410,,,,,
42100190,410,,,,,
42100191,410,,,,,
42100192,410,,,,,
42100193,410,,,,,
42100194,410,,,,,
42100195,410,,,,,
42100196,410,,,,,
42100197,410,,,,,
42100198,410,,,,,
42100199,410,,,,,
42100200,410,,,,,
42100201,410,,,,,
42100202,410,,,,,
42100203,410,,,,,
42100204,410,,,,,
42100205,410,,,,,
42100206,410,,,,,
42100207,410,,,,,
42100208,410,,,,,
42100209,410,,,,,
42100210,410,,,,,
42100211,410,,,,,
42100212,410,,,,,
42100213,410,,,,,
42100214,410,,,,,
42100215,410,,,,,
42100216,410,,,,,
42100217,410,,,,,
42100218,410,,,,,
42100219,410,,,,,
42100220,410,,,,,
42100221,410,,,,,
42100222,410,,,,,
42100223,410,,,,,
42100224,410,,,,,
42100225,410,,,,,
42100226,410,,,,,
42100227,410,,,,,
42100228,410,,,,,
42100229,410,,,,,
42100230,410,,,,,
42100231,410,,,,,
42100232,410,,,,,
42100233,410,,,,,
42100234,410,,,,,
42100235,410,,,,,
42100236,410,,,,,
42100237,410,,,,,
42100238,410,,,,,
42100239,410,,,,,
42100240,410,,,,,
42100241,410,,,,,
42100242,410,,,,,
42100243,410,,,,,
42100244,410,,,,,
42100245,410,,,,,
42100246,410,,,,,
42100247,410,,,,,
42100248,410,,,,,
42100249,410,,,,,
42100250,410,,,,,
42100251,410,,,,,
42100252,410,,,,,
42100253,410,,,,,
42100254,410,,,,,
42100255,410,,,,,
42100256,410,,,,,
42100257,410,,,,,
42100258,410,,,,,
42100259,410,,,,,
42100260,410,,,,,
42100261,410,,,,,
42100262,410,,,,,
42100263,410,,,,,
42100264,410,,,,,
42100265,410,,,,,
42100266,410,,,,,
42100267,410,,,,,
42100268,410,,,,,
42100269,410,,,,,
42100270,410,,,,,
42100271,410,,,,,
42100272,410,,,,,
42100273,410,,,,,
42100274,410,,,,,
42100275,410,,,,,
42100276,410,,,,,
42100277,410,,,,,
42100278,410,,,,,
42100279,410,,,,,
42100280,410,,,,,
42100281,410,,,,,
42100282,410,,,,,
42100283,410,,,,,
42100284,410,,,,,
42100285,410,,,,,
42100286,410,,,,,
42100287,410,,,,,
42100288,410,,,,,
42100289,410,,,,,
42100290,410,,,,,
42100291,410,,,,,
42100292,410,,,,,
42100293,410,,,,,
42100294,410,,,,,
42100295,410,,,,,
42100296,410,,,,,
42100297,410,,,,,
42100298,410,,,,,
42100299,410,,,,,
42100300,410,,,,,
42100301,410,,,,,
42100302,410,,,,,
42100303,410,,,,,
42100304,410,,,,,
42100305,410,,,,,
42100306,410,,,,,
42100307,410,,,,,
42100308,410,,,,,
42100309,410,,,,,
42100310,410,,,,,
42100311,410,,,,,
42100312,410,,,,,
42100313,410,,,,,
42100314,410,,,,,
42100315,410,,,,,
42100316,410,,,,,
42100317,410,,,,,
42100318,410,,,,,
42100319,410,,,,,
42100320,410,,,,,
42100321,410,,,,,
42100322,410,,,,,
42100323,410,,,,,
42100324,410,,,,,
42100325,410,,,,,
42100326,410,,,,,
42100327,410,,,,,
42100328,410,,,,,
42100329,410,,,,,
42100330,410,,,,,
42100331,410,,,,,
42100332,410,,,,,
42100333,410,,,,,
42100334,410,,,,,
42100335,410,,,,,
42100336,410,,,,,
42100337,410,,,,,
42100338,410,,,,,
42100339,410,,,,,
42100340,410,,,,,
42100341,410,,,,,
42100342,410,,,,,
42100343,410,,,,,
42100344,410,,,,,
42100345,410,,,,,
42100346,410,,,,,
42100347,410,,,,,
42100348,410,,,,,
42100349,410,,,,,
42100350,410,,,,,
42100351,410,,,,,
42100352,410,,,,,
42100353,410,,,,,
42100354,410,,,,,
42100355,410,,,,,
42100356,410,,,,,
42100357,410,,,,,
42100358,410,,,,,
42100359,410,,,,,
42100360,410,,,,,
42100361,410,,,,,
42100362,410,,,,,
42100363,410,,,,,
42100364,410,,,,,
42100365,410,,,,,
42100366,410,,,,,
42100367,410,,,,,
42100368,410,,,,,
42100369,410,,,,,
42100370,410,,,,,
42100371,410,,,,,
42100372,410,,,,,
42100373,410,,,,,
42100374,410,,,,,
42100375,410,,,,,
42100376,410,,,,,
42100377,410,,,,,
42100378,410,,,,,
42100379,410,,,,,
42100380,410,,,,,
42100381,410,,,,,
42100382,410,,,,,
42100383,410,,,,,
42100384,410,,,,,
42100385,410,,,,,
42100386,410,,,,,
42100387,410,,,,,
42100388,410,,,,,
42100389,410,,,,,
42100390,410,,,,,
42100391,410,,,,,
42100392,410,,,,,
42100393,410,,,,,
42100394,410,,,,,
42100395,410,,,,,
42100396,410,,,,,
42100397,410,,,,,
42100398,410,,,,,
42100399,410,,,,,
42100400,410,,,,,
42100401,410,,,,,
42100402,410,,,,,
42100403,410,,,,,
42100404,410,,,,,
42100405,410,,,,,
42100406,410,,,,,
42100407,410,,,,,
42100408,410,,,,,
42100409,410,,,,,
42100410,410,,,,,
42100411,410,,,,,
42100412,410,,,,,
42100413,410,,,,,
42100414,410,,,,,
42100415,410,,,,,
42100416,410,,,,,
42100417,410,,,,,
42100418,410,,,,,
42100419,410,,,,,
42100420,410,,,,,
42100421,410,,,,,
42100422,410,,,,,
42100423,410,,,,,
42100424,410,,,,,
42100425,410,,,,,
42100426,410,,,,,
42100427,410,,,,,
42100428,410,,,,,
42100429,410,,,,,
42100430,410,,,,,
42100431,410,,,,,
42100432,410,,,,,
42100433,410,,,,,
42100434,410,,,,,
42100435,410,,,,,
42100436,410,,,,,
42100437,410,,,,,
42100438,410,,,,,
42100439,410,,,,,
42100440,410,,,,,
42100441,410,,,,,
42100442,410,,,,,
42100443,410,,,,,
42100444,410,,,,,
42100445,410,,,,,
42100446,410,,,,,
42100447,410,,,,,
42100448,410,,,,,
42100449,410,,,,,
42100450,410,,,,,
42100451,410,,,,,
42100452,410,,,,,
42100453,410,,,,,
42100454,410,,,,,
42100455,410,,,,,
42100456,410,,,,,
42100457,410,,,,,
42100458,410,,,,,
42100459,410,,,,,
42100460,410,,,,,
42100461,410,,,,,
42100462,410,,,,,
42100463,410,,,,,
42100464,410,,,,,
42100465,410,,,,,
42100466,410,,,,,
42100467,410,,,,,
42100468,410,,,,,
42100469,410,,,,,
