old-entity,status,entity,notes,end-date,entry-date,start-date
7001999999,410,,,,,
7002019002,410,,Doncaster tree added by mistake,,,
19112546,410,,Doncaster tree zone added by mistake,,,
19117635,410,,Outside of LPA boundary,,,
19117636,410,,Outside of LPA boundary,,,
19117648,410,,Outside of LPA boundary,,,
19117652,410,,Outside of LPA boundary,,,
19117653,410,,Outside of LPA boundary,,,
19117654,410,,Outside of LPA boundary,,,
19117669,410,,Outside of LPA boundary,,,
7002025701,410,,Outside of LPA boundary,,,
7002025707,410,,Outside of LPA boundary,,,
7002019247,410,,Dover - alligning entities,,,
7002019248,410,,Dover - alligning entities,,,
7002019249,410,,Dover - alligning entities,,,
7002019250,410,,Dover - alligning entities,,,
7002019251,410,,Dover - alligning entities,,,
7002019252,410,,Dover - alligning entities,,,
7002019253,410,,Dover - alligning entities,,,
7002019254,410,,Dover - alligning entities,,,
7002019255,410,,Dover - alligning entities,,,
7002019256,410,,Dover - alligning entities,,,
7002019257,410,,Dover - alligning entities,,,
7002019258,410,,Dover - alligning entities,,,
7002019259,410,,Dover - alligning entities,,,
7002019260,410,,Dover - alligning entities,,,
7002019261,410,,Dover - alligning entities,,,
7002019262,410,,Dover - alligning entities,,,
7002019263,410,,Dover - alligning entities,,,
7002019264,410,,Dover - alligning entities,,,
7002019265,410,,Dover - alligning entities,,,
7002019266,410,,Dover - alligning entities,,,
7002019267,410,,Dover - alligning entities,,,
7002019268,410,,Dover - alligning entities,,,
7002019269,410,,Dover - alligning entities,,,
7002019270,410,,Dover - alligning entities,,,
7002019271,410,,Dover - alligning entities,,,
7002019272,410,,Dover - alligning entities,,,
7002019273,410,,Dover - alligning entities,,,
7002019274,410,,Dover - alligning entities,,,
7002019275,410,,Dover - alligning entities,,,
7002019276,410,,Dover - alligning entities,,,
7002019277,410,,Dover - alligning entities,,,
7002019278,410,,Dover - alligning entities,,,
7002019279,410,,Dover - alligning entities,,,
7002019280,410,,Dover - alligning entities,,,
7002019281,410,,Dover - alligning entities,,,
7002019282,410,,Dover - alligning entities,,,
7002019283,410,,Dover - alligning entities,,,
7002019284,410,,Dover - alligning entities,,,
7002019285,410,,Dover - alligning entities,,,
7002019286,410,,Dover - alligning entities,,,
7002019287,410,,Dover - alligning entities,,,
7002019288,410,,Dover - alligning entities,,,
7002019289,410,,Dover - alligning entities,,,
7002019290,410,,Dover - alligning entities,,,
7002019291,410,,Dover - alligning entities,,,
7002019292,410,,Dover - alligning entities,,,
7002019293,410,,Dover - alligning entities,,,
