source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
e4992b8c402b14158ddb995535c0edd3,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,23686a3a2c3a87f252ed6f4ddf7ecbbacffef7a8664eee7908bcf6f5d7b4ce98,,government-organisation:D69,title-boundary,2023-12-01T16:16:28:04Z,,
f3287b7b8507aa91ed1abbda971cccdd,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,6e33d6130d74685cb4a6c409223aaee65642bb20299f96ea730d4e84a1a8d6f5,,government-organisation:D69,title-boundary,2023-12-01T16:16:39:33Z,,
930ba12da1bc4103b50c96dd8000462c,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,50aac9bc7f9c3d0ac28df234556784ee60b960617e8e03527a6df4cd192a25bd,,government-organisation:D69,title-boundary,2023-12-01T16:16:45:29Z,,
3b6529127d5f1c1bd5c737cd20fa3e32,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,2e75625d82d2aba799181a311b9174537ea17c1c416338a8c4ae932b6e1554a0,,government-organisation:D69,title-boundary,2023-12-04T10:10:20:02Z,,
6a17d698674358414e820a4391c0df7f,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,0d31bd2c4b334e12c393525b247497fb3400f61a85fc7f19e6a3e48b9d9201b7,,government-organisation:D69,title-boundary,2023-12-04T10:10:55:25Z,,
a527012a66c761b37c47e678b6655839,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,6ae3b391ef09f032e2f3920951adeec430959a6eb7529e642bd359a520b2671d,,government-organisation:D69,title-boundary,2023-12-04T11:11:11:12Z,,
8ea2117b9ce96da71b3a12ae6fe8d328,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,76c5c0502ce8e6b12ee49fb20ca2a25081a94e8619e6a2567eae5ba32a3317f4,,government-organisation:D69,title-boundary,2023-12-04T11:11:20:17Z,,
57175acf4897d8e1178bf508dc50486e,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,8b4872cf8fd347ce1caab0329ab2ed85444f9202c27b17ab0458fed5e4d1a1ae,,government-organisation:D69,title-boundary,2023-12-04T11:11:33:06Z,,
158c4e17d37984c941f7736b21fbed63,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,6bc6d961788f20136edd1ad61dc7514b7798020582274c3e6342f8b42760b085,,government-organisation:D69,title-boundary,2023-12-04T11:11:42:49Z,,
5a7cc792f7f2c95a45b57bbeaf8afe42,,title-boundary,https://use-land-property-data.service.gov.uk/datasets/inspire,b0a95149887d76c822920d9232832381b6f9f43f1acc01a070846df5e4b50cdd,,government-organisation:D69,title-boundary,2023-12-04T11:11:55:23Z,,
