source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
1f34efaa765421282857013de980963d,crown-copyright,design-code,https://www.digital-land.info/dataset/design-code-category,014f829a6ebef894c46ddef4a58133a217f31adf4e688e3d6fab43af0b7ad63d,ogl3,government-organisation:D1342,design-code-rule-category,2022-05-10T16:16:38:10Z,,
28e8c6e8de4da05ee7545bc5310143dc,crown-copyright,design-code,https://www.digital-land.info/dataset/design-code-status,767d286dedd31744ee2cff3a9fdf601bea37bb4ecefa7dc4a3c23271f157e5e4,ogl3,government-organisation:D1342,design-code-status,2022-05-10T16:16:40:44Z,,
dbc95a98bb9792935b80362d4490c530,crown-copyright,design-code,,4e5a7e17a76a1f796b6598403767f60a53d31735e58831f59b9089521bf3a118,ogl3,local-authority:NUN,design-code,2022-05-10T16:16:43:34Z,,
2c65e688f961228c576faaa112a4e842,crown-copyright,design-code,,c6c0025816ba039cb10c1766f0036f4951f9c7bbc0013b1a8ac691cf82b33714,ogl3,local-authority:NUN,design-code-area,2022-05-10T16:16:44:22Z,,
dc8c4c1ca2cfe1005995559f1891734a,crown-copyright,design-code,,480de8763774f82802405b2b476de0795aac674932818daf557678fa7ccb74f2,ogl3,local-authority:BUC,design-code-area,2022-05-10T18:18:25:43Z,,
99b8b2a58953f3a7eed43e376193b302,crown-copyright,design-code,,756ccb6953cd45bc6c5d51361d714698b7facc0f37d488f2c9d7faba271d3fe0,ogl3,local-authority:GRT,design-code-area,2022-05-10T20:20:35:19Z,,
351bc7a56e78c98e41844824af3fbf7d,crown-copyright,design-code,,1d8a176b40156793addd5ec938c2faefebcb0fa9cf4919826d4b4bd5c513ea2b,ogl3,local-authority:GRT,design-code,2022-05-10T20:20:36:11Z,,
c040195fa5927de422b7c85fb40b6bcc,crown-copyright,design-code,,8d40565f2fbd6a3983f387ed3fee7848e654f1895d1187175b415a08e53dbe4d,ogl3,local-authority:BUC,design-code,2022-05-10T20:20:51:55Z,,
6d8578e69fd8391ef23c18c98ccf6275,crown-copyright,design-code,,c0f2a09178ed1a3993e3a67bded1d2517c53751516db1e31376214304e4ee9a8,ogl3,local-authority:HYN,design-code-area,2022-05-10T21:21:09:07Z,,
101e76f1d6735c4f5f018f4bfd263744,crown-copyright,design-code,,abe7e09820de4aab66d9d49a6733a4d899c1bd277c4638c7c3b45f3c31c610af,ogl3,local-authority:HYN,design-code,2022-05-10T21:21:25:45Z,,
92cc91cb66195a7a8b7bd4e09e86ea81,,design-code,,59491ae2bcb4792f62e3b2387316626c85e95e205b6ce44037338b66765eaafb,ogl3,local-authority:DAC,design-code,2022-07-06T09:09:02:55Z,,
b6cb2117eaa6f623f3c9b4d01f9f3361,,design-code,,95a51e3e9831c9916c4baf0e2b04c8315700a6028615079d84011b070b47e0a8,ogl3,local-authority:HEF,design-code,2022-07-06T09:09:08:38Z,,
c254bfd30607c60cddd8e35292c5a5b8,,design-code,,454b17b26802c1ad7f429ad5c9675d6832ef5ccee6e5b3ea937c648071422caf,ogl3,local-authority:NWL,design-code,2022-07-06T09:09:23:06Z,,
daa199b764b1c22b61a97397b09c452f,,design-code,,74cc3a5804c503bc61fd06de1cece813fe54e982f12549001ada140b6f67fb75,ogl3,local-authority:NWL,design-code-area,2022-07-06T09:09:23:49Z,,
471abfadcf064dea98ef0193dbde7829,,design-code,,97d3c2acf809371aac9452d4594a2830fb6a9a1314051f3512d5127fd6e3b475,ogl3,local-authority:SWK,design-code,2022-07-06T09:09:33:21Z,,
7989b979aa2d6e6e826af4e5733604a4,,design-code,,129aa99c9234bcea6f1d487efe1acb1d7bbdc22c0aae8e4502458a9489ed2e16,ogl3,local-authority:POR,design-code,2022-07-06T09:09:45:12Z,,
22d21c64feabb719c399f3d41e29d771,,design-code,,434e2cbc3550ec08e43566f4ac849fbb7d470010ef2e3aac6013defad7043b2c,ogl3,local-authority:POR,design-code-area,2022-07-06T09:09:47:56Z,,
d6cbeedf591bbdae99b95a1bc5735bd0,,design-code,,720b5c98b623dce36488f74c90339e11342577b73765b979529727f6dcd3b478,ogl3,local-authority:POR,design-code-area,2022-07-06T16:16:20:47Z,,
2ef2d76172a848e158b56208d8956952,,design-code-collection,https://dluhc-datasets.planning-data.dev/dataset/design-code-status,8b70179ae883850301456cce620da2d6247c8348f6436525aa75e1bad599bad0,ogl3,government-organisation:D1342,design-code-status,2024-01-26,2024-01-26,2025-02-26
fe5328e97398fa6a5f0a65da0d1b4546,,design-code,https://github.com/digital-land/design-code-data,b0401b5df368a1b37aaba47904f69eec297867bebf83b638882e6709b75e07a3,ogl3,government-organisation:D1342,design-code,2024-06-10,2024-06-06,
ad6c7d604191416adb0f6a1a5c63e47f,,design-code,https://github.com/digital-land/design-code-data,b98628127d2d1c10c1c9770015474e45f2e73ae067bc8c49235bdd994e8cc4bf,ogl3,government-organisation:D1342,design-code-rule,2024-06-10,2024-06-06,
093cc8941a472d8851fb5cd3ed619f88,,design-code,https://dluhc-datasets.planning-data.dev/dataset/design-code-characteristic,3e31e8eb8b6fd6a7eb8f2d1fb1a9124881737d97e6c533a7e5878c997ffded56,ogl3,government-organisation:D1342,design-code-characteristic,2024-06-10,2023-09-28,2025-02-26
177f0137f9735f76d79e73f67485e628,,design-code,https://dluhc-datasets.planning-data.dev/dataset/design-code-area-type,b26b23f3582c1e3657c27c893f46495056a4163a274a85dff408a5fbe831bbab,ogl3,government-organisation:D1342,design-code-area-type,2024-06-10,2024-03-05,2025-02-26
a9a1115fa963f010c98099e2b56f392d,,design-code,https://dataset-editor.development.planning.data.gov.uk/dataset/design-code-status,27e807c06b73bad99efb5d733a1a57aa0ef20d142e0436d6bd0d76f3c9bd31a5,ogl3,government-organisation:D1342,design-code-status,2025-02-26,2025-02-26,
1c77e1c3b5fce9de8a5a225ee83b4e62,,design-code,https://dataset-editor.development.planning.data.gov.uk/dataset/design-code-characteristic,78b6dfe8899baa3aeca06b67b260e748415fa8819d4317a851478bbfcbd3bc2c,ogl3,government-organisation:D1342,design-code-characteristic,2025-02-26,2025-02-26,
cb87094fe9cc857b7afb7d170b9f7865,,design-code,https://dataset-editor.development.planning.data.gov.uk/dataset/design-code-area-type,724388584a530e425846e530baeeaf6dc2563d8660091227c1224ec2da31e5fa,ogl3,government-organisation:D1342,design-code-area-type,2025-02-26,2025-02-26,
