old-entity,status,entity,end-date,notes,entry-date,start-date
44000536,301,44006677,,,,
44000549,301,44008664,,,,
44000550,301,44008665,,,,
44000551,301,44008357,,,,
44000552,301,44008358,,,,
44000553,301,44008359,,,,
44000564,301,44008673,,,,
44000554,301,44008360,,,,
44000555,301,44008685,,,,
44000556,301,44008686,,,,
44000557,301,44008687,,,,
44000569,301,44008694,,,,
44000558,301,44009106,,,,
44000559,301,44008375,,,,
44000560,301,44008688,,,,
44000561,301,44008689,,,,
44000562,301,44008671,,,,
44000563,301,44008672,,,,
44000565,301,44008291,,,,
44000566,301,44008690,,,,
44000567,301,44008388,,,,
44000568,301,44008691,,,,
44000570,301,44008676,,,,
44000571,301,44008692,,,,
44000572,301,44008693,,,,
44002803,301,44008960,,,,
44005374,301,44008198,,,,
44000378,301,44007961,,,,
44000379,301,44007962,,,,
44000382,301,44007963,,,,
44000460,301,44009664,,,,
44000461,301,44009665,,,,
44000462,301,44009666,,,,
44000463,301,44009667,,,,
44000464,301,44009668,,,,
44000465,301,44009669,,,,
44000466,301,44009670,,,,
44000467,301,44009671,,,,
44000468,301,44009672,,,,
44000469,301,44009673,,,,
44000470,301,44009674,,,,
44000471,301,44009675,,,,
44000472,301,44009676,,,,
44000579,301,44009928,,,,
44000580,301,44009929,,,,
44000996,301,44009144,,,,
44001386,301,44009688,,,,
44001387,301,44009689,,,,
44001388,301,44009690,,,,
44001389,301,44009691,,,,
44001390,301,44009692,,,,
44001391,301,44009693,,,,
44001392,301,44009694,,,,
44001394,301,44009695,,,,
44001395,301,44009697,,,,
44001396,301,44009696,,,,
44001618,301,44007968,,,,
44001619,301,44007970,,,,
44001791,301,44008645,,,,
44001792,301,44010022,,,,
44001809,301,44008654,,,,
44001823,301,44009808,,,,
44001824,301,44009992,,,,
44001825,301,44010027,,,,
44001827,301,44010066,,,,
44001829,301,44010054,,,,
44001833,301,44009998,,,,
44001837,301,44010019,,,,
44001841,301,44010008,,,,
44001853,301,44009995,,,,
44001856,301,44010048,,,,
44001866,301,44009823,,,,
44001875,301,44010039,,,,
44001883,301,44010034,,,,
44001884,301,44008649,,,,
44001886,301,44008653,,,,
44001895,301,44010025,,,,
44001897,301,44009812,,,,
44001909,301,44009996,,,,
44001911,301,44010026,,,,
44001921,301,44010013,,,,
44001944,301,44010047,,,,
44001946,301,44010012,,,,
44001947,301,44010031,,,,
44001953,301,44010011,,,,
44001955,301,44008650,,,,
44001970,301,44010003,,,,
44001986,301,44009814,,,,
44001990,301,44009826,,,,
44002013,301,44009993,,,,
44002029,301,44009825,,,,
44002034,301,44008651,,,,
44002045,301,44010058,,,,
44002057,301,44008652,,,,
44002065,301,44010073,,,,
44002082,301,44010006,,,,
44002083,301,44010018,,,,
44002100,301,44010061,,,,
44002101,301,44010046,,,,
44002104,301,44009984,,,,
44002106,301,44010030,,,,
44002129,301,44010067,,,,
44002133,301,44010056,,,,
44002135,301,44010059,,,,
44002156,301,44009822,,,,
44002162,301,44010044,,,,
44002166,301,44009805,,,,
44002168,301,44010029,,,,
44002169,301,44010051,,,,
44002170,301,44009985,,,,
44002173,301,44010040,,,,
44002179,301,44009989,,,,
44002182,301,44009811,,,,
44002184,301,44010023,,,,
44002192,301,44010062,,,,
44002194,301,44009806,,,,
44002204,301,44010017,,,,
44002205,301,44010001,,,,
44002214,301,44009824,,,,
44002218,301,44010060,,,,
44002219,301,44010063,,,,
44002221,301,44009827,,,,
44002241,301,44010037,,,,
44002257,301,44010045,,,,
44002260,301,44010024,,,,
44002269,301,44009807,,,,
44002273,301,44009813,,,,
44002281,301,44010028,,,,
44002287,301,44010033,,,,
44002297,301,44008647,,,,
44002298,301,44009810,,,,
44002301,301,44010000,,,,
44002316,301,44010004,,,,
44002429,301,44008924,,,,
44002430,301,44008848,,,,
44002451,301,44009077,,,,
44002597,301,44009594,,,,
44002799,301,44008761,,,,
44002806,301,44008774,,,,
44002809,301,44008873,,,,
44002816,301,44008718,,,,
44002820,301,44008853,,,,
44002833,301,44009025,,,,
44002835,301,44009023,,,,
44002838,301,44009016,,,,
44002839,301,44009096,,,,
44002841,301,44008981,,,,
44002845,301,44009022,,,,
44002847,301,44009101,,,,
44002848,301,44009028,,,,
44002854,301,44009069,,,,
44003011,301,44007919,,,,
44003017,301,44007922,,,,
